City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Oranjestad,AW,2022-01-31 13:47:00,12.524,-70.027,80.55,69,40,12.66
168,Mananjary,MG,2022-01-31 13:51:21,-21.2167,48.3333,80.38,69,0,9.01
169,Caravelas,BR,2022-01-31 13:48:32,-17.7125,-39.2481,89.53,52,73,10.4
170,Tshane,BW,2022-01-31 13:51:22,-24.0196,21.8684,81.72,47,99,16.35
171,Lavrentiya,RU,2022-01-31 13:51:22,65.5833,-171.0,-5.22,88,38,8.84
172,San Policarpo,PH,2022-01-31 13:51:23,12.1791,125.5072,79.88,80,2,8.43
173,Upernavik,GL,2022-01-31 13:51:23,72.7868,-56.1549,-23.8,89,27,4.41
174,Coihaique,CL,2022-01-31 13:47:08,-45.5752,-72.0662,53.55,54,75,6.91
175,Broome,US,2022-01-31 13:51:24,42.2506,-75.833,16.48,78,0,0.0
176,Lujan,AR,2022-01-31 13:48:46,-34.5703,-59.105,74.82,41,86,8.99
177,Torbay,CA,2022-01-31 13:51:24,47.6666,-52.7314,36.75,75,40,12.66
178,Pacasmayo,PE,2022-01-31 13:51:25,-7.4006,-79.5714,72.0,78,100,7.16
179,Baykit,RU,2022-01-31 13:51:25,61.67,96.37,-2.07,99,99,1.36
180,Carnarvon,AU,2022-01-31 13:51:25,-24.8667,113.6333,82.47,65,0,24.16
181,Kidal,ML,2022-01-31 13:51:26,18.4411,1.4078,81.68,8,1,17.13
182,Kaitangata,NZ,2022-01-31 13:51:26,-46.2817,169.8464,55.87,97,38,2.06
183,Onod,HU,2022-01-31 13:51:27,48.0,20.9167,38.43,65,100,9.89
184,San Javier,ES,2022-01-31 13:51:57,37.8063,-0.8374,75.69,11,0,12.66
185,Trincomalee,LK,2022-01-31 13:52:27,8.5711,81.2335,80.31,71,40,11.32
186,Baruun-Urt,MN,2022-01-31 13:52:28,46.6806,113.2792,-7.15,95,7,5.19
187,Ostrovnoy,RU,2022-01-31 13:52:28,68.0531,39.5131,6.46,97,88,7.65
188,Krasnorechenskiy,RU,2022-01-31 13:52:28,44.6265,135.3532,-9.49,97,58,6.08
189,Sorland,NO,2022-01-31 13:52:29,67.667,12.6934,33.87,76,100,9.75
190,Matay,EG,2022-01-31 13:52:29,28.419,30.7792,62.8,40,94,16.44
191,Adrar,MR,2022-01-31 13:52:30,20.5022,-10.0711,87.04,10,100,18.95
192,Sitka,US,2022-01-31 13:52:30,57.0531,-135.33,31.89,86,40,0.0
193,Fairbanks,US,2022-01-31 13:52:30,64.8378,-147.7164,-18.9,70,0,0.0
194,Tasiilaq,GL,2022-01-31 13:52:31,65.6145,-37.6368,7.61,81,100,9.04
195,Comodoro Rivadavia,AR,2022-01-31 13:52:31,-45.8667,-67.5,64.26,29,0,16.11
196,Sangar,RU,2022-01-31 13:52:32,63.9242,127.4739,-34.33,100,100,0.87
197,Bethel,US,2022-01-31 13:52:32,41.3712,-73.414,23.92,65,36,1.72
198,Faanui,PF,2022-01-31 13:52:32,-16.4833,-151.75,79.9,75,17,11.18
199,Timra,SE,2022-01-31 13:52:33,62.487,17.3257,19.08,73,17,9.22
200,Ketchikan,US,2022-01-31 13:52:33,55.3422,-131.6461,34.27,86,100,3.44
201,Saint-Philippe,RE,2022-01-31 13:52:34,-21.3585,55.7679,85.55,81,82,13.6
202,Kavieng,PG,2022-01-31 13:52:34,-2.5744,150.7967,80.89,77,48,4.45
203,Syedove,UA,2022-01-31 13:52:35,47.0768,38.156,35.01,86,100,20.2
204,Gracanica,BA,2022-01-31 13:52:35,44.7033,18.3097,43.97,58,100,0.92
205,Kawalu,ID,2022-01-31 13:52:35,-7.3817,108.2082,74.08,94,100,1.59
206,Ust-Koksa,RU,2022-01-31 13:52:36,50.2696,85.6108,7.84,88,99,0.72
207,Kontagora,NG,2022-01-31 13:52:36,10.3999,5.4695,92.61,6,39,7.67
208,Ilo,PE,2022-01-31 13:52:37,-17.6394,-71.3375,68.86,78,0,6.91
209,Mayo,US,2022-01-31 13:52:37,38.8876,-76.5119,29.23,68,0,8.01
210,Sur,OM,2022-01-31 13:48:50,22.5667,59.5289,73.98,64,0,3.27
211,Naze,JP,2022-01-31 13:52:37,28.3667,129.4833,52.39,65,21,10.71
212,Aksarka,RU,2022-01-31 13:52:38,66.5606,67.7975,-14.22,100,98,3.83
213,Auki,SB,2022-01-31 13:52:38,-8.7676,160.7034,77.56,88,75,2.77
214,Darovskoy,RU,2022-01-31 13:52:39,58.77,47.9564,15.48,96,100,8.28
215,Sao Jose Da Coroa Grande,BR,2022-01-31 13:52:39,-8.8978,-35.1478,85.82,56,13,7.94
216,Anaconda,US,2022-01-31 13:52:40,46.1285,-112.9423,31.96,74,96,16.98
217,Xuanhua,CN,2022-01-31 13:52:40,40.6103,115.0447,14.31,58,7,11.18
218,Gaziantep,TR,2022-01-31 13:52:40,37.0594,37.3825,40.93,81,75,8.05
219,Nikolskoye,RU,2022-01-31 13:52:41,59.7035,30.7861,26.49,97,100,5.08
220,Meulaboh,ID,2022-01-31 13:52:41,4.1363,96.1285,80.74,77,100,3.04
221,Karratha,AU,2022-01-31 13:52:42,-20.7377,116.8463,83.35,74,99,23.17
222,Egvekinot,RU,2022-01-31 13:52:42,66.3167,-179.1667,3.65,62,55,11.63
223,Trinidad,BO,2022-01-31 13:51:32,-14.8333,-64.9,80.58,83,75,11.5
224,Jumla,NP,2022-01-31 13:50:54,29.2747,82.1838,35.67,91,26,3.2
225,Erenhot,CN,2022-01-31 13:50:14,43.6475,111.9767,-0.62,91,4,3.8
226,Manjakandriana,MG,2022-01-31 13:52:43,-18.9167,47.8,80.29,52,1,9.24
227,Cap Malheureux,MU,2022-01-31 13:52:43,-19.9842,57.6142,84.69,62,100,10.0
228,Krasnozerskoye,RU,2022-01-31 13:53:44,53.9828,79.2374,10.89,95,83,9.06
229,Salalah,OM,2022-01-31 13:53:44,17.0151,54.0924,74.55,55,71,5.14
230,Punta Alta,AR,2022-01-31 13:53:45,-38.8759,-62.0736,67.17,24,84,5.23
231,Beisfjord,NO,2022-01-31 13:53:45,68.3751,17.5988,25.97,76,89,8.57
232,Carutapera,BR,2022-01-31 13:53:45,-1.195,-46.02,76.86,90,100,5.95
233,Kruisfontein,ZA,2022-01-31 13:53:46,-34.0033,24.7314,80.2,63,50,10.36
234,Kangaba,ML,2022-01-31 13:53:46,11.9333,-8.4167,96.35,7,7,10.74
235,Nisia Floresta,BR,2022-01-31 13:53:47,-6.0911,-35.2086,86.81,51,47,12.39
236,Severo-Kurilsk,RU,2022-01-31 13:53:47,50.6789,156.125,26.04,75,100,14.12
237,Ishigaki,JP,2022-01-31 13:53:48,24.3448,124.1572,64.45,62,100,15.95
238,Laiyang,CN,2022-01-31 13:53:48,36.9758,120.7136,27.41,52,0,7.25
239,Usogorsk,RU,2022-01-31 13:53:48,63.4106,48.6872,3.88,99,98,4.76
240,Yiyang,CN,2022-01-31 13:53:49,28.5892,112.3283,42.35,85,99,1.57
241,Novospasskoye,RU,2022-01-31 13:53:49,53.1468,47.7514,32.27,96,100,13.4
242,Kuybyshevskiy Zaton,RU,2022-01-31 13:53:49,55.1593,49.1701,23.58,96,100,15.66
243,Eyl,SO,2022-01-31 13:53:50,7.9803,49.8164,79.61,69,89,19.48
244,Nouadhibou,MR,2022-01-31 13:53:50,20.931,-17.0347,69.78,68,100,11.5
245,Pisco,PE,2022-01-31 13:50:56,-13.7,-76.2167,71.65,78,40,2.3
246,Hamilton,US,2022-01-31 13:53:51,39.1834,-84.5333,24.24,82,16,1.01
247,Belyy Yar,RU,2022-01-31 13:53:51,53.6039,91.3903,-14.91,76,15,0.0
248,Hithadhoo,MV,2022-01-31 13:50:21,-0.6,73.0833,82.99,69,9,9.17
249,Bria,CF,2022-01-31 13:53:52,6.5423,21.9863,98.22,10,70,3.42
250,Ribas Do Rio Pardo,BR,2022-01-31 13:49:08,-20.4431,-53.7592,77.72,76,97,8.55
251,Camacha,PT,2022-01-31 13:52:38,33.0833,-16.3333,63.82,77,40,23.02
252,Pevek,RU,2022-01-31 13:53:52,69.7008,170.3133,-19.62,100,92,1.61
253,Sovetskiy,RU,2022-01-31 13:53:53,61.3614,63.5842,-0.94,99,100,2.77
254,Wellingborough,GB,2022-01-31 13:53:53,52.3027,-0.6945,46.71,58,32,18.01
255,Jalu,LY,2022-01-31 13:52:47,29.0331,21.5482,61.9,45,5,13.56
256,Rundu,NA,2022-01-31 13:53:54,-17.9333,19.7667,69.03,85,97,10.69
257,Hailey,US,2022-01-31 13:53:54,43.5196,-114.3153,21.9,95,100,4.85
258,Samarai,PG,2022-01-31 13:53:55,-10.6167,150.6667,81.3,79,100,10.33
259,Mount Isa,AU,2022-01-31 13:53:55,-20.7333,139.5,76.77,100,100,0.0
260,Udachnyy,RU,2022-01-31 13:53:55,66.4167,112.4,-34.37,100,56,3.58
261,Zhengjiatun,CN,2022-01-31 13:53:56,43.5064,123.5064,5.11,88,68,7.72
262,Saskylakh,RU,2022-01-31 13:49:49,71.9167,114.0833,-27.47,100,86,2.75
263,Galle,LK,2022-01-31 13:53:56,6.0367,80.217,78.58,82,26,4.74
264,Fortuna,US,2022-01-31 13:53:57,40.5982,-124.1573,46.92,93,100,4.0
265,Jardim,BR,2022-01-31 13:53:57,-21.4803,-56.1381,80.47,73,100,6.73
266,Cockburn Town,TC,2022-01-31 13:49:48,21.4612,-71.1419,73.24,82,100,22.79
267,Seydi,TM,2022-01-31 13:53:58,39.4816,62.9137,46.63,44,1,6.78
268,Gravdal,NO,2022-01-31 13:53:58,68.1214,13.5031,33.69,93,40,14.97
269,Wajima,JP,2022-01-31 13:53:58,37.4,136.9,38.37,60,100,13.73
270,Bud,US,2022-01-31 13:53:59,39.447,-86.1758,22.82,91,17,3.47
271,Quelimane,MZ,2022-01-31 13:53:59,-17.8786,36.8883,87.75,58,40,8.99
272,Vao,NC,2022-01-31 13:54:00,-22.6667,167.4833,78.66,81,100,5.21
273,Hambantota,LK,2022-01-31 13:54:00,6.1241,81.1185,79.95,75,8,15.41
274,Kimbe,PG,2022-01-31 13:55:01,-5.5502,150.1429,76.51,92,100,1.95
275,Narsaq,GL,2022-01-31 13:55:01,60.9167,-46.05,23.4,88,100,16.64
276,Hami,CN,2022-01-31 13:55:01,42.8,93.45,24.8,38,9,4.38
277,Praia Da Vitoria,PT,2022-01-31 13:55:02,38.7333,-27.0667,62.76,82,75,20.13
278,Izhma,RU,2022-01-31 13:55:02,65.0083,53.9113,2.12,98,96,4.99
279,Manjacaze,MZ,2022-01-31 13:55:02,-24.7117,33.8828,87.01,46,84,13.29
280,Kaputa,ZM,2022-01-31 13:55:03,-8.4689,29.6619,71.91,82,100,3.85
281,Cherskiy,RU,2022-01-31 13:55:03,68.75,161.3,-26.41,100,100,1.12
282,Pochutla,MX,2022-01-31 13:55:04,15.7432,-96.4661,73.81,59,0,2.39
283,Owando,CG,2022-01-31 13:55:04,-0.4819,15.8999,99.68,16,59,3.74
284,Wum,CM,2022-01-31 13:55:04,6.3833,10.0667,87.31,14,0,7.9
285,La Ronge,CA,2022-01-31 13:55:05,55.1001,-105.2842,8.85,85,100,4.61
286,Zhigansk,RU,2022-01-31 13:55:05,66.7697,123.3711,-32.76,100,92,6.78
287,Beringovskiy,RU,2022-01-31 13:55:06,63.05,179.3167,0.07,92,100,12.64
288,Qasigiannguit,GL,2022-01-31 13:55:06,68.8193,-51.1922,-7.92,79,100,10.18
289,Riyadh,SA,2022-01-31 13:55:06,24.6877,46.7219,71.74,28,0,15.61
290,Bonavista,CA,2022-01-31 13:55:07,48.6499,-53.1147,37.11,69,94,15.9
291,Byron Bay,AU,2022-01-31 13:55:07,-28.65,153.6167,76.95,88,9,0.96
292,Paranapanema,BR,2022-01-31 13:55:08,-23.3886,-48.7228,64.81,99,100,8.05
293,Ambilobe,MG,2022-01-31 13:55:08,-13.2,49.05,82.6,78,67,4.61
294,Portland,US,2022-01-31 13:54:52,45.5234,-122.6762,40.86,90,80,1.01
